,F1_without,F1_with,delta
DDoS-ICMP_Fragmentation,0.9633,0.9559,-0.0074
DDoS-UDP_Fragmentation,0.9954,0.9934,-0.002
DDoS-RSTFINFlood,0.9964,0.9948,-0.0016
DDoS-ACK_Fragmentation,0.9876,0.9868,-0.0008
DDoS-ICMP_Flood,0.9988,0.9984,-0.0003
Mirai-greip_flood,0.9992,0.999,-0.0002
Mirai-greeth_flood,0.9994,0.9993,-0.0001
SYN_Flood,0.9944,0.9945,0.0001
DDoS-PSHACK_Flood,0.9938,0.9944,0.0006
TCP_Flood,0.995,0.9967,0.0017
Mirai-udpplain,0.9964,0.9982,0.0018
UDP_Flood,0.9932,0.9951,0.0019
VulnerabilityScan,0.6344,0.6362,0.0019
Recon-HostDiscovery,0.769,0.8246,0.0556
XSS,0.1036,0.1761,0.0725
Uploading_Attack,0.0638,0.1405,0.0767
HTTP_Flood,0.8644,0.9497,0.0853
Backdoor_Malware,0.1455,0.2403,0.0949
DNS_Spoofing,0.5278,0.6436,0.1158
Recon-PingSweep,0.1317,0.253,0.1212
SqlInjection,0.2592,0.3885,0.1293
DDoS-SlowLoris,0.6057,0.743,0.1373
Recon-PortScan,0.3889,0.5437,0.1548
BrowserHijacking,0.184,0.3573,0.1733
Recon-OSScan,0.2828,0.5002,0.2173
MITM-ArpSpoofing,0.6496,0.9476,0.298
CommandInjection,0.0087,0.3125,0.3038
DictionaryBruteForce,0.0921,0.9698,0.8777
