,precision,recall,f1-score,support
Benign,0.7896999950575792,0.7955586536546505,0.7926184984001786,20084.0
BruteForce,0.7551662174303684,0.6433218522770762,0.6947716470345112,2613.0
DDoS,0.999873372841007,0.9997833463700669,0.9998283575789977,355406.0
DoS,0.9996242165586289,0.9995169017297602,0.9995705562638395,74519.0
Mirai,0.9999544439024113,0.9999506477483036,0.9999525458217545,526825.0
Recon,0.8865349840033384,0.8987491715200316,0.892600295511999,70913.0
Spoofing,0.9156426300133347,0.9174211981377375,0.9165310512292663,97301.0
Web,0.7433823529411765,0.6107531212243255,0.6705726287862038,4966.0
accuracy,0.9806312015942712,0.9806312015942712,0.9806312015942712,0.9806312015942712
macro avg,0.8862347765934806,0.858131861582744,0.8708056975783438,1152627.0
weighted avg,0.9804889287737448,0.9806312015942712,0.9805191097986738,1152627.0
