,Backdoor_Malware,BenignTraffic,BrowserHijacking,CommandInjection,DDoS-ACK_Fragmentation,DDoS-HTTP_Flood,DDoS-ICMP_Flood,DDoS-ICMP_Fragmentation,DDoS-PSHACK_Flood,DDoS-RSTFINFlood,DDoS-SYN_Flood,DDoS-SlowLoris,DDoS-SynonymousIP_Flood,DDoS-TCP_Flood,DDoS-UDP_Flood,DDoS-UDP_Fragmentation,DNS_Spoofing,DictionaryBruteForce,DoS-HTTP_Flood,DoS-SYN_Flood,DoS-TCP_Flood,DoS-UDP_Flood,MITM-ArpSpoofing,Mirai-greeth_flood,Mirai-greip_flood,Mirai-udpplain,Recon-HostDiscovery,Recon-OSScan,Recon-PingSweep,Recon-PortScan,SqlInjection,Uploading_Attack,VulnerabilityScan,XSS
Backdoor_Malware,380,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,88,1,1,0,0,0,61,0,0,0,53,7,0,22,5,1,0,8
BenignTraffic,5,16244,6,6,0,1,0,1,0,0,0,1,0,0,0,0,920,38,0,0,0,0,1314,0,0,0,168,1025,2,347,5,0,0,1
BrowserHijacking,2,18,737,6,0,0,0,0,0,0,0,0,0,0,0,0,148,2,0,0,0,0,138,0,0,0,72,14,1,32,0,0,0,2
CommandInjection,14,19,4,654,0,0,0,0,0,0,0,0,0,0,0,1,110,8,1,0,0,0,128,0,0,0,73,20,0,32,0,2,0,16
DDoS-ACK_Fragmentation,0,1,0,0,57003,0,0,8,0,0,0,0,0,0,0,1,2,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
DDoS-HTTP_Flood,0,0,0,0,3,5738,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,4,0,1,0,2,2,0,0,0,0,0,0
DDoS-ICMP_Flood,0,0,0,0,1,1,19937,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-ICMP_Fragmentation,0,2,0,0,7,6,0,90451,0,1,1,0,0,0,0,2,4,0,2,1,0,0,9,1,1,2,2,1,0,0,0,0,5,0
DDoS-PSHACK_Flood,0,0,0,0,0,0,0,0,20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-RSTFINFlood,0,0,0,0,0,0,0,0,0,19965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-SYN_Flood,0,0,0,0,0,0,0,2,0,0,19927,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-SlowLoris,0,7,0,1,1,3,0,2,0,0,0,4656,0,0,0,3,1,0,2,0,0,0,1,1,1,1,0,2,0,0,0,0,3,0
DDoS-SynonymousIP_Flood,0,0,0,0,0,0,0,1,0,0,0,1,20053,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DDoS-TCP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,20049,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
DDoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20096,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-UDP_Fragmentation,0,0,0,0,2,1,0,4,0,3,0,4,0,0,0,57345,2,0,0,0,0,0,17,3,0,3,0,1,0,0,0,0,0,0
DNS_Spoofing,67,983,82,76,0,0,0,2,0,0,0,0,0,0,1,1,29236,91,4,0,0,0,2868,0,0,0,1371,465,12,461,23,2,0,37
DictionaryBruteForce,6,92,5,10,0,0,0,0,0,0,0,0,0,0,0,0,195,1643,0,0,0,0,278,0,0,0,108,158,1,110,4,1,0,2
DoS-HTTP_Flood,0,1,0,0,2,0,0,2,0,0,0,2,0,0,0,0,10,2,14335,1,2,0,4,0,1,3,1,2,0,0,1,0,4,0
DoS-SYN_Flood,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,2,20015,1,0,0,0,0,0,0,1,0,1,0,0,0,0
DoS-TCP_Flood,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1,2,0,20059,0,0,0,0,0,0,0,0,0,0,0,2,0
DoS-UDP_Flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,20036,1,0,0,4,0,0,0,1,0,0,0,0
MITM-ArpSpoofing,38,1517,66,48,4,1,2,2,0,0,1,0,0,0,0,8,2884,124,1,1,0,0,54823,5,1,2,635,795,16,494,20,5,0,26
Mirai-greeth_flood,0,3,0,0,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,9,198332,17,3,0,0,0,1,0,0,0,0
Mirai-greip_flood,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,3,3,0,0,0,0,0,5,40,150272,3,0,0,0,0,0,0,3,0
Mirai-udpplain,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,6,1,2,178098,0,2,0,0,0,0,0,0
Recon-HostDiscovery,41,180,38,39,1,0,0,0,0,0,1,0,0,0,0,0,1519,63,0,5,0,0,734,0,0,0,23503,286,1,438,14,3,0,10
Recon-OSScan,8,1326,10,2,0,0,0,0,0,0,0,3,0,0,0,0,612,89,0,0,0,0,963,0,1,1,345,14352,19,1884,33,0,0,4
Recon-PingSweep,2,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,0,0,39,0,0,0,15,85,224,22,3,0,0,0
