,0
IAT,0.2675845768230098
Min,0.14592129075570778
Protocol Type,0.1455586686070182
log_iat,0.1046069591292404
ICMP,0.06527532927253953
Magnitue,0.04982199311985458
header_to_size,0.048177367382381056
AVG,0.023333403609900917
Variance,0.020541645730338957
fin_flag_number,0.019407224062637764
UDP,0.018758588366905544
psh_flag_number,0.018406740410536693
syn_flag_number,0.016098809221401996
Header_Length,0.0069930268446813625
flag_count_sum,0.00471389306528324
log_rate,0.004521252496953511
HTTP,0.003651038942031441
rst_ratio,0.003024978053541296
Duration,0.0026148541562834035
Rate,0.0025989569173368253
bytes_per_duration,0.002551563432292949
fin_count,0.002393988981562699
rst_count,0.0021693191852936423
syn_count,0.002153316654374476
flow_duration,0.0021412348805533088
urg_ratio,0.0017113377601388421
urg_count,0.0015675960325431586
duration_ratio,0.0015183140147558452
tcp_no_l7,0.0013249883446532374
Max,0.0012049497080212754
rate_per_byte,0.0011484240655877216
Tot sum,0.0008982358225679748
syn_ack_ratio,0.0008812665334696312
l7_proto_count,0.0007493556024114726
size_cv,0.0005874779571042385
ack_count,0.0005633163793799253
syn_no_ack,0.0005567443597817197
Tot size,0.0005423903864962005
size_per_count,0.00044050767354236796
variance_to_avg,0.0004171291029728081
Covariance,0.00040460219807687305
min_max_ratio,0.00031687954469180636
radius_to_magnitude,0.00031232082479741547
fin_ratio,0.00029120885989681775
avg_pkt_size,0.0002809654623123571
size_range,0.00024257964877249589
Std,0.00023739184848814218
HTTPS,0.0001980092963884865
SSH,0.0001824204431337386
rst_flag_number,0.00016540008083030787
ack_flag_number,0.00010566766181879572
flag_number_sum,5.595955919851531e-05
transport_count,5.520501214266633e-05
TCP,1.6877787241658887e-05
IPv,1.5859531612421965e-06
DNS,8.719739608715263e-07
ARP,0.0
DHCP,0.0
IRC,0.0
SMTP,0.0
Telnet,0.0
Drate,0.0
ece_flag_number,0.0
cwr_flag_number,0.0
