,precision,recall,f1-score,support
Mirai-greeth_flood,0.9995153864792827,0.9991925716592652,0.9993539530000808,12385
Mirai-greip_flood,0.9996224990562477,0.9987929993964997,0.9992075770725632,13256
DDoS-ICMP_Flood,0.99949924887331,0.9980554475248625,0.9987768264205493,17999
Mirai-udpplain,0.9991032852368142,0.99747700822007,0.9982894844017268,12287
TCP_Flood,0.999463896800134,0.9945652173913043,0.9970085398666377,29992
DDoS-PSHACK_Flood,0.9992734182875028,0.9933881542393599,0.9963220952911674,17998
DDoS-UDP_Fragmentation,0.9987269255251432,0.9938242280285036,0.9962695452020002,6315
DDoS-RSTFINFlood,0.9991615896260689,0.9932766572206478,0.9962104324565314,17997
UDP_Flood,0.999103239547136,0.9904433825980664,0.9947544642857142,26997
SYN_Flood,0.9994291941258886,0.987793619858447,0.9935773427222782,38996
DDoS-ACK_Fragmentation,0.9909752845861963,0.9880368098159509,0.9895038656494803,9780
MITM-ArpSpoofing,0.984382957053132,0.966983491745873,0.9756056527590848,5997
DDoS-ICMP_Fragmentation,0.9888942539835828,0.9565623540401681,0.9724596391263058,6423
HTTP_Flood,0.9824666746727513,0.9620178739416745,0.9721347513516725,8504
Recon-HostDiscovery,0.8460219478737997,0.8261888814467515,0.83598780074551,2986
DDoS-SlowLoris,0.7870905587668593,0.8208305425318151,0.8036065573770492,2986
DNS_Spoofing,0.749911190053286,0.7170516304347826,0.7331133877409273,2944
VulnerabilityScan,0.694454013089907,0.6776470588235294,0.6859476012249064,2975
Recon-Scanning,0.7866721683515576,0.5961538461538461,0.6782887129769635,6396
DictionaryBruteForce,0.6121050628092881,0.6153846153846154,0.6137404580152672,2613
BrowserHijacking,0.35138061721710884,0.5537542662116041,0.4299436899635641,1172
SqlInjection,0.3548387096774194,0.5452812202097236,0.42991356632844796,1049
CommandInjection,0.30985915492957744,0.4269870609981516,0.3591138748542557,1082
Backdoor_Malware,0.2099400171379606,0.3804347826086957,0.27056874654886803,644
XSS,0.1836734693877551,0.32769830949284784,0.23540401681457263,769
Uploading_Attack,0.09436274509803921,0.308,0.14446529080675422,250
