,0
log_iat,6524
IAT,6496
Rate,3507
Header_Length,3345
Duration,3184
flow_duration,3116
rst_ratio,3037
Protocol Type,2760
urg_ratio,2735
header_to_size,2624
rate_per_byte,2599
duration_ratio,2508
urg_count,2289
syn_count,2285
Min,2069
bytes_per_duration,2064
size_per_count,1962
Variance,1938
flag_count_sum,1931
rst_count,1912
syn_ack_ratio,1859
Tot sum,1740
Max,1657
size_cv,1609
Tot size,1606
fin_ratio,1317
min_max_ratio,1272
variance_to_avg,1247
Covariance,1245
ack_count,1179
Magnitue,1066
fin_count,1046
radius_to_magnitude,880
log_rate,870
avg_pkt_size,801
AVG,756
Std,740
size_range,701
HTTP,581
tcp_no_l7,420
HTTPS,336
flag_number_sum,327
syn_flag_number,240
TCP,240
ICMP,231
l7_proto_count,204
UDP,175
rst_flag_number,173
psh_flag_number,165
transport_count,162
syn_no_ack,146
ack_flag_number,142
fin_flag_number,76
DNS,74
SSH,68
ARP,65
IPv,45
ece_flag_number,1
IRC,0
DHCP,0
Drate,0
cwr_flag_number,0
Telnet,0
SMTP,0
