,precision,recall,f1-score,support
Backdoor_Malware,0.0047169811320754715,0.0015552099533437014,0.0023391812865497076,643.0
BenignTraffic,0.08401084010840108,0.004630551682931687,0.008777311122646406,20084.0
BrowserHijacking,0.004860804242156429,0.00938566552901024,0.006404657933042212,1172.0
CommandInjection,0.018570102135561744,0.036968576709796676,0.024721878862793572,1082.0
DDoS-ACK_Fragmentation,0.0,0.0,0.0,57021.0
DDoS-HTTP_Flood,0.0,0.0,0.0,5758.0
DDoS-ICMP_Flood,0.37523638000900494,0.8358238892789088,0.5179453714924955,19942.0
DDoS-ICMP_Fragmentation,0.0,0.0,0.0,90498.0
DDoS-PSHACK_Flood,0.9960982658959537,0.6889899545204657,0.8145587757393128,20009.0
DDoS-RSTFINFlood,0.28830557512704813,0.9632857500626095,0.44378807458002584,19965.0
DDoS-SYN_Flood,0.0,0.0,0.0,19932.0
DDoS-SlowLoris,0.0,0.0,0.0,4685.0
DDoS-SynonymousIP_Flood,0.1176099730163667,0.6975271712035098,0.20128183917306267,20058.0
DDoS-TCP_Flood,0.011859886802218946,0.05256595681013416,0.019353298690806264,20051.0
DDoS-UDP_Flood,0.5661426075909163,0.1773367159130478,0.2700757575757576,20103.0
DDoS-UDP_Fragmentation,0.0,0.0,0.0,57385.0
DNS_Spoofing,0.4337568058076225,0.006679335978983847,0.01315608400077065,35782.0
DictionaryBruteForce,0.5454545454545454,0.002296211251435132,0.004573170731707317,2613.0
DoS-HTTP_Flood,0.022540709554112092,0.9263897585751061,0.04401056385746064,14373.0
DoS-SYN_Flood,0.0,0.0,0.0,20032.0
DoS-TCP_Flood,0.0,0.0,0.0,20069.0
DoS-UDP_Flood,0.2803024273776363,0.17569589943130798,0.21600073594799302,20046.0
MITM-ArpSpoofing,0.8522402287893232,0.014532095775288936,0.028576908323743766,61519.0
Mirai-greeth_flood,0.6381294010944777,0.6313258356732014,0.6347093867435655,198373.0
Mirai-greip_flood,0.0,0.0,0.0,150336.0
Mirai-udpplain,0.0,0.0,0.0,178115.0
Recon-HostDiscovery,0.4186046511627907,0.0006697425212085132,0.0013373453694416582,26876.0
Recon-OSScan,0.09420289855072464,0.0006615102788520253,0.0013137948458817584,19652.0
Recon-PingSweep,0.0,0.0,0.0,452.0
Recon-PortScan,0.018772563176895306,0.001579874825302303,0.002914471471808093,16457.0
SqlInjection,0.0,0.0,0.0,1049.0
Uploading_Attack,0.0,0.0,0.0,250.0
VulnerabilityScan,0.0,0.0,0.0,7476.0
XSS,0.0,0.0,0.0,769.0
accuracy,0.1836778073045313,0.1836778073045313,0.1836778073045313,0.1836778073045313
macro avg,0.16974751903023033,0.15376175605807188,0.0957599590514372,1152627.0
weighted avg,0.2291982773279442,0.1836778073045313,0.1551035243813194,1152627.0
