,precision,recall,f1-score,support
Backdoor_Malware,0.5753424657534246,0.6086956521739131,0.5915492957746479,138.0
BenignTraffic,0.974611662846957,0.813540227441811,0.8868215258066384,47045.0
BrowserHijacking,0.6460905349794238,0.6254980079681275,0.6356275303643725,251.0
CommandInjection,0.6347826086956522,0.6293103448275862,0.6320346320346321,232.0
DDoS-ACK_Fragmentation,0.9970607446113651,0.9998362534796136,0.9984465701904995,12214.0
DDoS-HTTP_Flood,0.9879227053140096,0.9951338199513382,0.9915151515151515,1233.0
DDoS-ICMP_Flood,1.0,0.9997503736290811,0.9998751712342647,308461.0
DDoS-ICMP_Fragmentation,0.9970666941128036,0.9995356995460173,0.9982996702390766,19384.0
DDoS-PSHACK_Flood,1.0,0.9998631815979249,0.9999315861188235,175415.0
DDoS-RSTFINFlood,0.9999596059852389,0.9999480654375487,0.9999538356780961,173295.0
DDoS-SYN_Flood,0.9997929487548168,0.9996722084524213,0.999732574958089,173891.0
DDoS-SlowLoris,0.9661508704061895,0.9950199203187251,0.9803729146221786,1004.0
DDoS-SynonymousIP_Flood,0.9998637230853094,0.999591280653951,0.9997274833083526,154140.0
DDoS-TCP_Flood,0.9999273255813953,0.9997456857402361,0.9998364974112091,192675.0
DDoS-UDP_Flood,0.9997713615205753,0.999560071768684,0.9996657054800577,231856.0
DDoS-UDP_Fragmentation,0.9982930992440868,0.9991864627399935,0.9987395812156943,12292.0
DNS_Spoofing,0.6433285213446072,0.8140657620041754,0.7186960027646585,7664.0
DictionaryBruteForce,0.648854961832061,0.6071428571428571,0.6273062730627307,560.0
DoS-HTTP_Flood,0.9880798969072165,0.9961026307242611,0.9920750444767912,3079.0
DoS-SYN_Flood,0.999689233673258,0.9993326659993327,0.9995109180356166,86913.0
DoS-TCP_Flood,0.9997989809206674,0.999580573565649,0.9996897653140143,114442.0
DoS-UDP_Flood,0.9994794780712553,0.9994794780712553,0.9994794780712553,142165.0
MITM-ArpSpoofing,0.7189638318670577,0.8930712605297109,0.7966153325435776,13177.0
Mirai-greeth_flood,0.9995529516952543,0.9998117204048012,0.9996823193043969,42490.0
Mirai-greip_flood,0.9996273291925466,0.9995962858296327,0.9996118072700735,32201.0
Mirai-udpplain,0.9995283513258568,0.999868941836387,0.9996986175719059,38151.0
Recon-HostDiscovery,0.8220201364079246,0.879277401424353,0.8496852706672262,5757.0
Recon-OSScan,0.5001623903864891,0.7317652649085293,0.5941931127616475,4209.0
Recon-PingSweep,0.725,0.5979381443298969,0.655367231638418,97.0
Recon-PortScan,0.6207920792079208,0.7114893617021276,0.66305353602115,3525.0
SqlInjection,0.725,0.5155555555555555,0.6025974025974026,225.0
Uploading_Attack,0.8387096774193549,0.48148148148148145,0.611764705882353,54.0
VulnerabilityScan,0.9919003115264797,0.9943785134291068,0.9931378665003119,1601.0
XSS,0.7391304347826086,0.5151515151515151,0.6071428571428571,165.0
accuracy,0.992101503949248,0.992101503949248,0.992101503949248,0.992101503949248
macro avg,0.8745957328662297,0.8646757844064001,0.8653363902228874,2000001.0
weighted avg,0.9934091456728846,0.992101503949248,0.9924247141861398,2000001.0
