file,label
syn_to_dns53.pcap,SYN_Flood
syn_high31337.pcap,SYN_Flood
udp_capture.pcap,UDP_Flood
udp_d100.pcap,UDP_Flood
udp_d500.pcap,UDP_Flood
udp_p53.pcap,UDP_Flood
udp_randports.pcap,UDP_Flood
udp_to_http80.pcap,UDP_Flood
udp_holdout.pcap,UDP_Flood
tcp_flood.pcap,TCP_Flood
tcp_flood2.pcap,TCP_Flood
pshack.pcap,DDoS-PSHACK_Flood
pshack2.pcap,DDoS-PSHACK_Flood
rstfin.pcap,DDoS-RSTFINFlood
rstfin2.pcap,DDoS-RSTFINFlood
icmp_flood.pcap,DDoS-ICMP_Flood
icmp_flood2.pcap,DDoS-ICMP_Flood
ack_frag.pcap,DDoS-Fragmentation
ack_frag2.pcap,DDoS-Fragmentation
udp_frag.pcap,DDoS-Fragmentation
udp_frag2.pcap,DDoS-Fragmentation
icmp_frag.pcap,DDoS-Fragmentation
icmp_frag2.pcap,DDoS-Fragmentation
recon_scan.pcap,Recon-Scanning
scan.pcap,Recon-Scanning
